и;10274;3.0
в;4948;1.0
 –;4580;1.0
не;4349;1.0
что;3736;1.0
на;3220;1.0
с;3055;0.0
он;3047;0.0
как;1963;0.0
его;1926;0.0
к;1796;0.0
то;1638;0.0
я;1408;0.0
все;1217;0.0
она;1201;0.0
было;1150;0.0
сказал;1147;0.0
это;1074;0.0
за;993;0.0
так;978;0.0
но;963;0.0
ее;902;0.0
–;890;0.0
ему;884;0.0
по;867;0.0
из;841;0.0
же;831;0.0
был;802;0.0
о;794;0.0
от;788;0.0
Он;787;0.0
а;781;0.0
князь;733;0.0
бы;721;0.0
у;680;0.0
только;664;0.0
Пьер;622;0.0
Андрей;600;0.0
еще;582;0.0
вы;579;0.0
233;560;0.0
для;521;0.0
Наташа;489;0.0
мне;478;0.0
�?;473;0.0
была;471;0.0
сказала;470;0.0
него;470;0.0
Я;457;0.0
себя;456;0.0
Ростов;426;0.0
ты;419;0.0
В;417;0.0
быть;402;0.0
были;402;0.0
ни;397;0.0
чтобы;396;0.0
меня;393;0.0
уже;380;0.0
Она;377;0.0
когда;375;0.0
этого;374;0.0
говорил;369;0.0
теперь;362;0.0
того;349;0.0
очень;347;0.0
время;345;0.0
их;343;0.0
de;335;0.0
который;330;0.0
себе;325;0.0
ей;315;0.0
опять;315;0.0
Князь;312;0.0
Но;310;0.0
ничего;307;0.0
до;307;0.0
они;299;0.0
будто;299;0.0
том;299;0.0
ли;298;0.0
или;297;0.0
вас;297;0.0
чем;291;0.0
князя;287;0.0
этот;285;0.0
которые;273;0.0
»;268;0.0
ней;267;0.0
всех;266;0.0
тем;260;0.0
мой;256;0.0
раз;255;0.0
будет;246;0.0
глаза;245;0.0
своей;242;0.0
ним;241;0.0
во;241;0.0
Николай;239;0.0
под;237;0.0
после;235;0.0
Марья;232;0.0
мы;231;0.0
дело;229;0.0
своего;227;0.0
лицо;222;0.0
вам;221;0.0
свою;218;0.0
где;216;0.0
может;215;0.0
более;211;0.0
мог;210;0.0
при;208;0.0
со;207;0.0
А;207;0.0
руку;207;0.0
потому;206;0.0
нее;205;0.0
граф;204;0.0
вот;201;0.0
надо;201;0.0
232;201;0.0
человек;199;0.0
перед;198;0.0
Это;194;0.0
вдруг;192;0.0
– Да;191;0.0
сам;191;0.0
один;190;0.0
vous;189;0.0
Пьера;189;0.0
Анна;189;0.0
Соня;184;0.0
княжна;184;0.0
ежели;180;0.0
про;180;0.0
эти;179;0.0
всегда;178;0.0
без;178;0.0
есть;176;0.0
– Я;176;0.0
друг;176;0.0
своим;175;0.0
спросил;175;0.0
да;175;0.0
На;175;0.0
другой;174;0.0
нет;173;0.0
– Ну;173;0.0
говорила;173;0.0
им;173;0.0
этом;171;0.0
между;171;0.0
le;171;0.0
que;170;0.0
которое;170;0.0
кто;169;0.0
et;168;0.0
несколько;165;0.0
Все;165;0.0
знаю;164;0.0
нему;164;0.0
Что;163;0.0
Как;163;0.0
которая;162;0.0
нибудь;161;0.0
людей;160;0.0
которого;159;0.0
день;157;0.0
Долохов;156;0.0
хорошо;155;0.0
la;154;0.0
эту;154;0.0
думал;154;0.0
которой;153;0.0
тебе;151;0.0
Андрея;149;0.0
Денисов;149;0.0
говорить;149;0.0
этой;148;0.0
Борис;148;0.0
улыбкой;148;0.0
над;147;0.0
нем;147;0.0
голову;147;0.0
минуту;147;0.0
отвечал;146;0.0
свое;144;0.0
никогда;143;0.0
стал;143;0.0
руки;141;0.0
человека;140;0.0
них;140;0.0
знал;139;0.0
Анатоль;139;0.0
Василий;139;0.0
глазами;139;0.0
своих;138;0.0
голос;138;0.0
казалось;138;0.0
прежде;137;0.0
жизни;136;0.0
даже;135;0.0
там;135;0.0
об;134;0.0
через;133;0.0
